x_dat	y_dat	z_dat
56	86	56
91	42	36
49	26	93
47	26	44
71	41	19
86	59	38
23	22	53
44	75	8
85	68	14
86	20	61
55	17	1
78	77	43
6	59	18
73	54	26
NaN	NaN	NaN
90.6672584049452	81.2453307487412	22.1497127321208
63.80266454749	28.4989009482755	9.26143355379267
55.9304620267878	36.7069671321567	52.4430972201462
58.710813611545	36.5415660968261	101.404738201251
49.211315930036	85.6274447895902	16.8391656746124
83.5686475653437	89.6018106433741	51.3178283366381
78.5133437400689	53.3705920433381	27.1777640867119
32.3843770710464	31.1163766522133	61.7879985755685
61.2467327001724	97.0887554123744	64.7222221975327
95.5026940843287	33.1279840137523	68.7902477309327
98.6774142274671	55.5538929731524	43.8703809705054
79.7855593458036	66.4301183913663	34.2368177780845
92.6278488345764	72.1844605657262	46.0674199109828
12.48321858401	67.1547460535238	27.318014215715
